state,bea,industry,census_share,share_ratio_before,factor,share_ratio_after,output_unadjusted,output_adjusted
AK,211,Oil and gas extraction,0.021122493384597454,1.108139882468729,0.9334818261405786,1.034428441106115,10927.947527487491,10201.040413927445
AK,212,"Mining, except oil and gas",0.039623968971088004,0.8136799903122056,1.2284991641145908,0.9996051879553131,3613.3334419449084,4438.977113096617
AK,213,Support activities for mining,0.015146591279002069,1.1748016494146962,0.8510571439804558,0.9998233364944004,1860.805938172569,1583.6521872430194
AK,23,Construction,0.002391766558233548,1.060609912208033,0.942853718874028,1.0000000000000004,6272.816042229588,5914.347933228829
AK,323,Printing and related support activities,5.295262837933936e-4,0.9433039630468433,1.060103677260117,1,40.29819645356976,42.720266247379904
AK,324,Petroleum and coal products,0.004043839999711804,0.3455693881950027,2.0087589090980096,0.6941655872482603,878.0365971344484,1763.763837007923
AK,42,Wholesale trade,0.0011657201150231257,0.9335743687557753,1.0710886838982727,0.9999409419517843,2824.9739690044976,3025.7976505079073
AK,445,Food and beverage stores,0.0023966588467341163,0.5805882684518548,1.7223909857264446,0.9999999999999998,490.9015836957289,845.5244626363592
AK,481,Air transportation,0.009548937777805468,0.9134794035211131,1.1043058258089635,1.0087606270648626,2298.9157570010443,2538.7060635002767
AK,483,Water transportation,0.020512330710786578,1.0501108540301995,0.9123829825479166,0.9581032730060134,1325.9234475156168,1209.7499896745144
AK,484,Truck transportation,0.0019605172155468314,0.8560369709225489,1.1681738452514532,1,971.2739941940889,1134.6168765904465
AK,487OS,Other transportation and support activities,0.003987938398021156,1.4713419639298584,0.6796516544183004,0.9999999999999993,2160.9719802853133,1468.7081815525041
AK,493,Warehousing and storage,0.001390187413566735,0.20167225565345345,2.0032247488237793,0.4039948536761142,47.75954562048443,95.67310377953275
AK,511,"Publishing industries, except internet (includes software)",6.115568090803496e-5,3.4938030921163614,0.49979073655510997,1.7461704207873576,129.70220481108558,89.76
AK,524,Insurance carriers and related activities,2.8085561800885215e-4,1.881384243686001,0.5280344551432792,0.9934357040298881,728.5558244248239,388.824
AK,5415,Computer systems design and related services,0.0010490202983559572,0.4027889399227773,2.001101242178431,0.8060214480152035,306.90394227132884,614.1458601086136
AK,561,Administrative and support services,0.002160086137991404,0.5812933353205046,1.7203509488825592,1.0000285409977374,1754.707666836538,3018.7129996537396
AK,562,Waste management and remediation services,0.0031139222458655513,0.9768363370005311,1.0235174005157028,0.9998089883760646,498.924283225091,510.65768542070543
AK,621,Ambulatory health care services,0.0030363851708416797,0.9656132296104047,1.0356113289825881,1.0000000000000004,4310.160992361987,4463.651553428908
AK,622,Hospitals,0.0036992398007244746,0.8223203972045366,1.2161949017702025,1.0001018747018051,3504.092466407693,4261.65939297641
AK,623,Nursing and residential care facilities,0.001576991000081997,0.8572770685902609,1.1664840185734093,1,428.1154930867603,499.3898807893808
AK,624,Social assistance,0.0029535421250387836,0.8039882164371002,1.2437993238651341,1.0000000000000007,761.3587198820279,946.9774610080904
AK,711AS,"Performing arts, spectator sports, museums, and related activities",6.519065754513609e-4,1.4329909155561016,0.6978581446659877,1.000024381653196,273.7538547335965,191.04135715954996
AK,713,"Amusements, gambling, and recreation industries",0.0023585131763598564,0.9137658707594652,1.1005172282959566,1.005615083399648,546.733897882939,601.6900739135766
AK,721,Accommodation,0.0042938581336170395,0.9252544297359204,1.081036512774982,1.0002338221513238,1771.302781793526,1914.8429822986982
AK,722,Food services and drinking places,0.0021409079992393523,0.8689449050692759,1.1508209486771501,1.0000000000000007,2500.128521078134,2877.2002764419385
AK,81,"Other services, except government",0.0017984803063025038,1.1410148951829941,0.8779514847610967,1.0017557213604364,2130.8963377390182,1870.8236035899545
AK,ORE,Other real estate,0.001329575480081466,1.3209835819915976,0.7568861496118122,0.9998341770740404,3571.672308441646,2703.34930121153
AL,211,Oil and gas extraction,2.1949758549486272e-4,6.111461103954878,0.5172142205530575,3.1609345913223503,496.3946915876215,271.83
AL,212,"Mining, except oil and gas",0.02063434795485717,1.4747152425510524,0.6778292914543522,0.9996051879553131,3691.8519628235804,2502.445400115067
AL,213,Support activities for mining,0.0015842382285276783,1.092814763836731,0.9149065052746451,0.99982333649440025,169.73126589708474,155.28823931774335
AL,22,Utilities,0.015481369502079453,1.2555824525361086,0.7988490957631096,1.0030209068644982,12266.052377859647,9798.72485063612
AL,23,Construction,0.013256974506305481,0.8803732384294433,1.1358818695851853,1.0000000000000004,27852.665843059694,31637.338150746076
AL,311FT,Food and beverage and tobacco products,0.01749008512806056,0.6962231692495834,1.4363210593491724,1,12982.787871754559,18647.451629264095
AL,313TT,Textile mills and textile product mills,0.028391644097476573,1.2736488245365942,0.7851457801673402,1,1384.6629640524798,1087.1622831798059
AL,315AL,Apparel and leather and allied products,0.0191174829912999,0.6041816161999398,1.6616257892033874,1.003923754840403,214.73992756539235,356.81740161432333
AL,321,Wood products,0.0424497041901987,1.0910731070482582,0.9165288682674589,1.0000000000000002,7524.999491126929,6896.879267315769
AL,322,Paper products,0.042155926709278715,1.0736284349378251,0.9318962971555277,1.0005103630394432,9003.45823787603,8390.289393471105
AL,323,Printing and related support activities,0.005511237117142109,0.9915335326288485,1.008538760508386,1,480.54080494633695,484.64402779428076
AL,324,Petroleum and coal products,0.007895883072058818,1.2593539173332302,0.7975354987387886,1.004379454549005,6689.086926497587,5334.784278031364
AL,325,Chemical products,0.013842668534131129,0.5554155768632099,1.8034707168804802,1.0016757285720785,7611.969866630063,13727.964752243934
AL,326,Plastics and rubber products,0.019952207989328865,0.8669814327788075,1.15383128286437,1.000350298802761,5654.153846153847,6523.939585820204
AL,327,Nonmetallic mineral products,0.02118401703829949,1.4769565154005657,0.6770680040832412,1.0000000000000002,5038.910436867897,3411.68503224436
AL,331,Primary metals,0.08293906507464939,0.8277402189779736,1.2103682158666837,1.001870452045468,22389.479080648616,27099.513849029103
AL,332,Fabricated metal products,0.019034972433348497,1.0371627508008694,0.9645767570488261,1.0004230826993425,8692.959508005515,8385.026691388719
AL,333,Machinery,0.007534974763691122,0.8319053513004395,1.202555943002637,1.0004127242220398,2918.22737271262,3509.331670088532
AL,334,Computer and electronic products,0.008232045651205163,0.4598512729890073,2.070722114649943,0.952224200428265,1514.3918927603497,3135.884782585441
AL,335,"Electrical equipment, appliances, and components",0.014571255172893377,0.9412495997023466,1.0659025661449566,1.0032803637056444,2424.676737922245,2584.4691570233035
AL,3361MV,"Motor vehicles, bodies and trailers, and parts",0.10552512900613971,0.5221216119126838,1.911685510430391,0.9981323201760375,33122.06555938506,63318.9728054019
AL,337,Furniture and related products,0.028584601198709068,0.94617083556272,1.0568915912582177,1.0000000000000007,2266.124,2395.0474003484373
AL,339,Miscellaneous manufacturing,0.010261585828450652,0.7099179635434725,1.4112417606521468,1.0018658767896764,1281.84883995483,1808.9986137877663
AL,42,Wholesale trade,0.010573313595509767,1.0605784185355263,0.9428260319802925,0.9999409419517842,31837.193706526377,30016.935011712205
AL,441,Motor vehicle and parts dealers,0.014807687467024442,0.9504711480228569,1.049223678176264,0.9972568339289585,7611.469913859717,7986.134459347864
AL,445,Food and beverage stores,0.011320072265513001,0.8305010530101534,1.204092392629121,1,3305.9945272357086,3980.722860318024
AL,452,General merchandise stores,0.015522722513281165,1.0428036703327674,0.9589532799408842,1,5030.745865272814,4824.250248052406
AL,481,Air transportation,0.0010494385502310094,1.4773707094543191,0.682808059351236,1.0087606270648628,578.092112496849,394.7259534602299
AL,483,Water transportation,0.002808358761096193,2.090246606548829,0.4790516365030066,1.001336057562073,383.91974849957126,183.9173838045423
AL,484,Truck transportation,0.017309392155367292,0.8586804674818445,1.1645775557613274,1,8008.004417168352,9325.942210671832
AL,485,Transit and ground passenger transportation,0.0027269475223958566,0.6380854319369239,1.57386879851347,1.0042627521115148,250.38806906466462,394.0779694209115
AL,486,Pipeline transportation,0.007325951373020645,0.7766877827117337,1.4166236006932902,1.100274243359584,282.7281264757212,400.5193365453041
AL,487OS,Other transportation and support activities,0.012099523180769314,0.8092866103863454,1.2356561781278075,0.9999999999999993,3355.3438516869737,4146.051360080163
AL,493,Warehousing and storage,0.013967220498117923,0.8407612614206721,1.1913160374675449,1.0016123744118894,2117.3398558414765,2522.4209270331703
AL,4A0,Other retail,0.012805555385977148,1.0093866728520091,0.9879488667586694,0.9972224195654467,20491.390437646623,20244.445961182417
AL,511,"Publishing industries, except internet (includes software)",0.004232798657220119,1.0114495105239212,0.9882663076206802,0.9995814731102202,2538.625881438793,2508.838426279811
AL,513,Broadcasting and telecommunications,0.00955807304290616,0.787317819000312,1.2697727130842282,0.9997146830915832,6738.117637155109,8555.877913211132
AL,521CI,"Federal Reserve banks, credit intermediation, and related activities",0.008023767652405141,1.1612822822160878,0.8928921781673715,1.0368998664350988,14140.659056677518,12626.083865838958
AL,523,"Securities, commodity contracts, and investments",0.0019171143170343664,1.6003232234312446,0.6246941530705281,0.9997125607004789,2430.8598502019486,1518.543935355057
AL,524,Insurance carriers and related activities,0.008093780459890116,1.150392850595243,0.8635621331581284,0.9934357040298882,13669.977791706593,11804.875182030386
AL,532RL,Rental and leasing services and lessors of intangible assets,0.009802080146119916,0.9481539782379348,1.0436834185508512,0.9895725853199575,5423.892030096739,5660.8261758220815
AL,5411,Legal services,0.008721479235430683,1.1945413817556298,0.837141362595819,1.0000000000000007,4373.435082495968,3661.183404185033
AL,5412OP,"Miscellaneous professional, scientific, and technical services",0.011498193944422334,0.7895183377663406,1.266595026569164,1.0000000000000004,20091.919283701314,25448.325038965162
AL,5415,Computer systems design and related services,0.010068110310910044,0.7632009781138603,1.3109923202167928,1.000550621089216,5573.352494455064,7306.622318091694
AL,561,Administrative and support services,0.009143828312230429,1.027020958465722,0.9737177540093163,1.0000285409977379,12591.00820752489,12260.088232544003
AL,562,Waste management and remediation services,0.014308419296864343,0.8080018671293466,1.237384502498944,0.9998089883760645,1947.3092032314269,2409.5702296521345
AL,621,Ambulatory health care services,0.011993397115251558,1.0828909508519255,0.9234540183508655,1.0000000000000004,19196.16359900132,17726.77441241838
AL,622,Hospitals,0.012285039009360843,0.7170413094547646,1.3947618658990217,1.0001018747018051,10208.639871517482,14238.621595488872
AL,623,Nursing and residential care facilities,0.010959692181486992,0.9753569387590391,1.02526568506532,0.9999999999999997,3393.4567297857075,3479.1947388032636
AL,624,Social assistance,0.008168709880840626,0.7509196937571443,1.3317003246999821,1.0000000000000007,2130.1809052940966,2836.76260324985
AL,711AS,"Performing arts, spectator sports, museums, and related activities",0.003649619627782558,0.8503596158772734,1.1760017326569785,1.000024381653196,930.3366471234028,1094.0775089714057
AL,713,"Amusements, gambling, and recreation industries",0.006553620152049231,0.9298067791102007,1.0815312449775785,1.0056150833996476,1385.4524533001245,1498.410116674924
AL,721,Accommodation,0.009250315252699324,0.6955551366583834,1.4380367125986468,1.000233822151324,2287.1066398980292,3288.9433138014992
AL,722,Food services and drinking places,0.012119136623526169,0.9703390110367577,1.0305676558665318,1.0000000000000007,15280.595598239537,15747.687585922164
AL,81,"Other services, except government",0.010798858529096298,1.222385330810013,0.8195089519739442,1.0017557213604367,13226.90733639865,10839.568969108532
