state,bea,industry,output_type1,output_type2,direct_jobs,jobs_type1,jobs_type2,labor_type2,va_type2,jobs_multiplier,direct_jobs_se,jobs_type2_se,labor_type2_se,output_type2_se
AL,111CA,Farms,1.4942709366264986,1.6263304498742333,0.860983254176196,2.077739043645063,2.632035410082956,0.18129341055426745,0.7222791586499131,3.0570111524426036,6.451896803903212,10.960452513156968,0.4676407115305243,1.8349143419810452
AL,113FF,"Forestry, fishing, and related activities",1.1437901528576113,1.7148364557570979,6.656061646555524,7.326135941393018,9.723001437718075,0.7839414919154141,1.21782597624631,1.4607739462193348,14.518226613332114,19.633721222676627,0.9159627288258334,1.8110046520056595
AL,211,Oil and gas extraction,1.501828872935102,1.7838475294699523,0.7175119396497869,2.235859617282516,3.4195828700838047,0.38715971932459464,0.9826904833834508,4.765889849516486,1.1310305455111855,5.211211035032521,0.5198320085798984,1.8804899716136154
AL,212,"Mining, except oil and gas",1.172884328897865,1.3442266981090847,1.2291933819928342,1.605329864703977,2.324509046384526,0.23522154309684223,0.8043361944372963,1.8910849020484533,1.2682250959221235,2.8174451716383953,0.2561492525532248,1.3594710642211805
AL,213,Support activities for mining,1.369665816458436,1.9099780563096087,5.060941456247949,6.158923411433903,8.4267881333763,0.7417492789260618,1.2059659443070272,1.665063349621061,5.855504400991131,11.446184836398528,0.9480743281132856,2.0602713597627074
AL,22,Utilities,1.1511424991460462,1.3454663413678047,1.0630151900814913,1.4413318455367987,2.256971680992717,0.26677087656913884,0.9024117266182139,2.123179143676862,1.0853059152931568,2.8660898174824125,0.29316164128501276,1.3646901594423761
AL,23,Construction,1.3923796212220283,1.7491199516572613,3.636994769936604,4.786562504860058,6.283916720842626,0.4897388275658262,0.930621408818741,1.7277772222235448,6.473867019591297,10.800047768609028,0.6776776575848046,1.886020186126765
AL,321,Wood products,1.329400940953612,1.5658134704017177,2.497143026010477,3.4323826182123462,4.424682247604801,0.32455089911626084,0.6516231190472707,1.7718978054187902,2.593872103196222,5.302674331827609,0.3626585936306911,1.5935722486892645
AL,327,Nonmetallic mineral products,1.2803100233163616,1.4622720114866863,1.7075119924830622,2.3166402127762784,3.0803933600669033,0.24980032574214658,0.7243580007298737,1.80402443650624,1.752241126406597,3.6476420037313435,0.27129819543718214,1.4779316992773799
AL,331,Primary metals,1.3520121581812508,1.4844288848166018,0.8073434819492167,1.227572978053264,1.7833686842806942,0.18178379880229448,0.4579118408501154,2.208934269184911,0.811304114438546,2.099650044330191,0.19188575921653425,1.491787453288968
